CWPName,SourceID,CWPStreet,CWPCity,CWPState,CWPZip,RegistryID,FacLat,FacLong,CWPTotalDesignFlowNmbr,CWPActualAverageFlowNmbr,CWPFacilityTypeIndicator,CWPFacilityTypeCode,NPDESIDs
CITY OF RIO GRANDE CITY  WWTP,TX0068764,2222 CLAY DAVIS ST RIO,RIO GRANDE CITY,TX,78582,1.10001E+11,26.367306,-98.804056,1.94,,POTW,CTG,TX0068764
CITY OF RIPLEY WASTEWATER LAGOON,TN0078191,SR-19 WEST,RIPLEY,TN,38063,1.10017E+11,35.758876,-89.566068,3.1,1.154,POTW,MWD,TN0078191 TNL025364 TNL078191
CITY OF ROCKPORT WWTP,TX0022152,1401 N PEARL ST,ROCKPORT,TX,78382,1.10038E+11,28.03768,-97.05605,2.5,2.5,POTW,MWD,TX0022152 TXR05FA0A
CITY OF ROMA  2 WWTP,TX0117544,604 E 6TH ST,ROMA-LOS SAENZ,TX,78584,1.1001E+11,26.394334,-99.00178,2,2,POTW,MWD,TX0117544
CITY OF ROSENBERG WWTF 2,TX0024490,2200 SW OF THE INTEX OF ST HWY 36 AND US HWY 59,ROSENBERG,TX,77471,1.10001E+11,29.528248,-95.812757,4.5,4.5,POTW,MWD,TX0024490 TXR05AO32 TXRNEAR21
CITY OF ROSENBERG WWTP 1A,TX0098914,2700 AVN A,ROSENBERG,TX,77471,1.10001E+11,29.565556,-95.798611,2,2,POTW,MWD,TX0098914 TXR05AO10
CITY OF RUSK WWTP,TX0054399,1.5 M S OF INTX 8TH ST AND MAIN ST,RUSK,TX,75785,1.10002E+11,31.774139,-95.152473,1.75,1.75,POTW,MWD,TX0054399
CITY OF SAFFORD - GILA RESOURCES WRP,AZ0024911,1395 W RECLAMATION WAY,SAFFORD,AZ,85546,1.10012E+11,32.802,-109.711,2,,POTW,MWD,AZ0024911
CITY OF SALEM - WASTEWATER PLANT,OH0027324,1600 PENNSYLVANIA AVE,SALEM,OH,44460,1.10002E+11,40.91106,-80.88223,4,,POTW,MWD,OH0027324
CITY OF SALISBURY WWTP,MD0021571,1142 MARINE ROAD,SALISBURY,MD,218014118,1.10002E+11,38.356944,-75.625,6.8,,POTW,MWD,MD0021571 MDL021571 MDR000063
CITY OF SALISBURY WWTP,NC0023884,1915 GRUBB FERRY RD,SALISBURY,NC,281444261,1.1007E+11,35.712263,-80.4318,12.5,,POTW,MWD,NC0023884 NCG110119 NCL023884
CITY OF SAN ANTONIO MS4,TXS001901,JOINT STORMWATER PERMIT,SAN ANTONIO,TX,78283,1.10002E+11,29.422062,-98.483852,,,NON-POTW,CTG,TXS001901
CITY OF SAN BERNARDINO WRF,CA0105392,399 CHANDLER PLACE,SAN BERNARDINO,CA,92408,1.10039E+11,34.071124,-117.28782,33,0,POTW,MWD,CA0105392
CITY OF SAN JUAN WWTP,TX0057592,709 SOUTH NEBRASKA AVE,SAN JUAN,TX,78589,1.10064E+11,26.161663,-98.16224,4,4,POTW,MWD,TX0057592
CITY OF SAN MARCOS WWTF,TX0047945,720 RIVER RD,SAN MARCOS,TX,78666,1.10002E+11,29.86615,-97.925294,9,9,POTW,MWD,TX0047945
CITY OF SARASOTA AWWTF,FL0040771,1850 12TH ST,SARASOTA,FL,34236-2618,1.10001E+11,27.347711,-82.533154,10.2,5.9,POTW,MWD,FL0040771 FLL040771
CITY OF SEABROOK MAIN STREET WWTP,TX0022250,715 SECOND ST,SEABROOK,TX,77586,1.10001E+11,29.565278,-95.019444,2.5,,POTW,MWD,TX0022250
CITY OF SHENANDOAH WWTP,TX0093564,302 ED ENGLISH DR,SHENANDOAH,TX,77385,1.10065E+11,30.189821,-95.449386,3,,POTW,MWD,TX0093564
CITY OF SILSBEE SOUTH WWTP,TX0023736,140 WOODWARD LANE,SILSBEE,TX,77656,1.1004E+11,30.333674,-94.181322,1.6,,POTW,MWD,TX0023736
CITY OF SOLON WATER RECLAMATION FACILITY,OH0027430,6951 COCHRAN RD,SOLON,OH,44139,1.10065E+11,41.36957,-81.46149,5.8,,POTW,MWD,OH0027430
CITY OF SOMERSWORTH,NH0100277,99 BUFFUMSVILLE ROAD,SOMERSWORTH,NH,3878,1.1002E+11,43.251455,-70.840091,2.4,,POTW,MWD,NH0100277 NHG070030 NHG58A006 NHL100277 NHNOE3163 NHR1000ZN
CITY OF SOMERTON - WWTP,AZ0026603,110 N STATE AVE,SOMERTON,AZ,85350,1.10007E+11,32.589804,-114.726901,1.8,,NON-POTW,MWD,AZ0023051 AZ0026603
CITY OF SOUTH HOUSTON,TX0057304,206 GEORGIA ST,SOUTH HOUSTON,TX,77587,1.10001E+11,29.669861,-95.234889,4,4,POTW,MWD,TX0057304
CITY OF SPRING HILL STP,TN0075868,3893 MAHLON MOORE ROAD,SPRING HILL,TN,37174,1.10007E+11,35.71673,-86.91843,5,2.29,POTW,MWD,TN0075868 TNL075868
CITY OF ST. ALBANS MUNICIPAL UTILITY COMMISSION,WV0023175,1499 MACCORKLE AVE.,ST. ALBANS,WV,25177,1.10009E+11,38.3878,-81.82103,4,0,POTW,MWD,WV0023175 WV0035068 WVL023175 WVR030005
CITY OF ST. HELENS,OR0020834,265 STRAND ST,ST HELENS,OR,97051,1.1001E+11,45.853539,-122.800487,,30,NON-POTW,POF,OR0020834 ORL020834
CITY OF STAMFORD WPCF,CT0101087,111 HARBOR VIEW AVE,STAMFORD,CT,6902,1.10056E+11,41.046247,-73.52996,24,,POTW,MWD,CT0101087
CITY OF SUGAR LAND NEW TERRITORY NORTH REGIONAL WWTF,TX0111872,1.4 MI SW INTEX OF GRAND PKWY AND NEW TERRITORY BL,FORT BEND COUNTY,TX,77479,1.1001E+11,29.578278,-95.696056,6,2.5,POTW,MWD,TX0111872
CITY OF SUMMERSVILLE,WV0020630,"221 CANVAS NETTIE RD, .25 MILES WEST OF ST. RT. 19",SUMMERSVILLE,WV,26651,1.10001E+11,38.27701,-80.83172,,,POTW,MWD,WV0020630
CITY OF SWEETWATER  WWTP,TX0118346,320 CR 109,SWEETWATER,TX,79556,1.10011E+11,32.498167,-100.343972,2.2,2.2,POTW,MWD,TX0118346
CITY OF TOLLESON - WWTP,AZ0020338,9501 W PIMA RD,TOLLESON,AZ,85353,1.10001E+11,33.45029,-112.265672,17.5,,POTW,MWD,AZ0020338 AZU000224
CITY OF TOMBALL NORTH WWTP,TX0022381,EAST NEAL DR; 1850' SOUTH INTX OF ZION RD AND NEAL,TOMBALL,TX,77375,1.10001E+11,30.111833,-95.610139,1.5,,POTW,MWD,TX0022381 TXR05FK70 TXR05FK71
CITY OF TOMBALL SOUTH WWTP,TX0117595,APPROX 4800 FT OF THE INTERX OF HOLDERRIETH ,TOMBALL,TX,77375,1.10007E+11,30.0669,-95.6147,4.5,,POTW,MWD,TX0117595
CITY OF TORRINGTON,CT0100579,BOGUE ROAD,TORRINGTON,CT,6790,1.1003E+11,41.779986,-73.117311,7,,POTW,MWD,CT0100579
CITY OF TROUTDALE WATER POLLUTION CONTROL FACILITY,OR0020524,1820 NW GRAHAM ROAD,TROUTDALE,OR,97060,1.10005E+11,45.553408,-122.387009,1.9,,POTW,MWD,OR0020524 ORL020524 ORL020528
CITY OF TRUTH OR CONSEQUENCES,NM0020681,505 SIMS STREET,TRUTH OR CONSEQUENCES,NM,87901,1.10014E+11,33.122081,-107.250618,1.06,,POTW,MWD,NM0020681
CITY OF TUCSON - STORMWATER,AZS000001,255 W ALAMEDA ST,TUCSON,AZ,85701,1.10056E+11,32.22313,-110.97485,,,POTW,CTG,AZS000001
CITY OF TULSA-MS4 STORMWATER,OKS000201,DEPARTMENT OF PUBLIC WORKS,TULSA,OK,74103,1.1005E+11,36.150476,-95.996479,,,NON-POTW,CTG,OKS000201
CITY OF TWINSBURG WWTP,OH0027863,10231 RAVENNA RD,TWINSBURG,OH,44087,1.10001E+11,41.32127,-81.45266,5.8,,POTW,MWD,OH0027863
CITY OF UVALDE WWTF,TX0023094,1.3 MI SW INTEX FM 117 AND US HWY 83,UVALDE,TX,78801,1.10065E+11,29.127751,-99.887307,2.44,0.97,POTW,MWD,TX0023094
CITY OF VERNON WWTF,TX0023001,0.8MI NE INTEX FT WORTH AND DENVER RR AND ,VERNON,TX,76384,1.10002E+11,34.163389,-99.269417,2,2,POTW,MWD,TX0023001
CITY OF WACO MS4,TXS002001,ALL AREAS EXCEPT FOR ANY AGRICULTURAL LANDS;,WACO,TX,76702,1.10002E+11,31.55842,-97.13001,,,POTW,CTG,TXS002001
CITY OF WAVERLY,TN0078808,1425 HIGHWAY 70 WEST,WAVERLY,TN,37185,1.1001E+11,36.082037,-87.859744,2,1.76,POTW,MWD,TN0024830 TN0078808 TNL024830 TNL078808
CITY OF WAXAHACHIE WWTP,TX0027537,PO BOX 757,WAXAHACHIE,TX,75168,1.10001E+11,32.36588,-96.84019,8,,POTW,MWD,TX0027537 TXR05FJ94 TXR05X911
CITY OF WEBSTER CENTRAL WWTF,TX0024589,613 MAGNOLIA AVE,WEBSTER,TX,775985230,1.10062E+11,29.529003,-95.117019,3.3,3.3,POTW,CTG,TX0024589
CITY OF WEIRTON SANITARY BOARD,WV0023108,5000 FREEDOM WAY,WEIRTON,WV,26062,1.10011E+11,40.38183,-80.61114,4,,POTW,MWD,WV0023108 WVL023108
CITY OF WEST COLUMBIA WWTP,TX0026182,APPROX 1500' S INTEX OF DUMP GROUND RD AND ST HWY ,WEST COLUMBIA,TX,77486,1.10012E+11,29.143416,-95.642166,1.6,1.6,POTW,MWD,TX0026182
CITY OF WHEELING - WATER POLLUTION CONTROL DIVISION,WV0023230,2516 MAIN ST,WHEELING,WV,26003-0613,1.10065E+11,40.057226,-80.72899,10,,POTW,MWD,WV0023230
CITY OF WHITE OAK WWTF,TX0026531,1500' E OF ST HWY 42 AND 3800' S US HWY 80,WHITE OAK,TX,75693,1.10001E+11,32.507388,-94.848006,2,2,POTW,MWD,TX0026531
CITY OF WHITEFISH WWTF,MT0020184,300 MONEGAN RD,WHITEFISH,MT,59937,1.10056E+11,48.391944,-114.329917,,,POTW,MWD,MT0020184 MTR000552 MTR103121 MTR108188
CITY OF WILMINGTON REGIONAL WWTP,DE0020320,12TH STREET & HAY ROAD,WILMINGTON,DE,19802,1.10007E+11,39.72954,-75.504334,,,POTW,MWD,DE0020320 DEL020320
CITY OF WINNSBORO WWTP,TX0054658,720 CR 4700,WINNSBORO,TX,75494,1.1004E+11,32.930556,-95.298806,1.5,1.5,POTW,MWD,TX0054658
CITY OF WINSLOW - WWTP,AZ0026310,3140 SANTA FE CIR,WINSLOW,AZ,86047,1.10039E+11,35.0389,-110.68948,2.2,,NON-POTW,MWD,AZ0026310
CITY OF WOODVILLE SOUTH WWTP,TX0025828,320 VETERANS WAY,WOODVILLE,TX,75979,1.10065E+11,30.767417,-94.410194,1.6,,POTW,MWD,TX0025828
CITY OF YUMA - FIGUEROA AVE WPCF,AZ0020443,289 N FIGUEROA AVE,YUMA,AZ,85364,1.10001E+11,32.730833,-114.663333,12,,POTW,MWD,AZ0020443 AZMS80263
CITY WATER & LIGHT PLANT OF THE CITY OF JONESBORO - EASTSIDE WWTP,AR0043401,5205 INGELS ROAD,JONESBORO,AR,72404,1.10001E+11,35.7914,-90.6308,9,7.82,POTW,MWD,AR0043401 ARR000154
CITY WATER LIGHT AND POWER,IL0024767,3100 STEVENSON DRIVE,SPRINGFIELD,IL,62707,1.10057E+11,39.754494,-89.604988,,,NON-POTW,POF,IL0024767 ILL024767
CLACKAMAS COUNTY - MUNICIPAL STORMWATER MS4,ORS108016,MULTIPLE OUTFALL LOCATIONS (CLACKAMAS),CLACKAMAS,OR,97023,1.10014E+11,45.2031,-122.2017,,,NON-POTW,CNG,ORS108016
CLAIRTON MUN AUTH STP,PA0026824,1 N STATE ST,CLAIRTON,PA,15025-2172,1.10001E+11,40.303681,-79.882271,13.6,,POTW,CTG,PA0026824 PAL026824
CLAIRTON PLT,PA0004472,400 STATE ST,CLAIRTON,PA,15025,1.10042E+11,40.305088,-79.876911,128.932,,NON-POTW,COR,PA0004472
CLAREMONT CITY OF,NH0101257,338 PLAINS  RD,CLAREMONT,NH,3743,1.10007E+11,43.38962,-72.379045,3.9,,POTW,MWD,NH0101257 NHL101257
